DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
1450396800000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,27.035646875,19.076276875,100.0,%,27.035646875,78.0093970833,0.830044375,359.13,54634.7,1245.38,,production,OP
1450483200000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.9538170833,19.026953125,100.0,%,26.9538170833,78.4785883333,0.7968339583,356.43,54133.41,1225.53,,production,OP
1450569600000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.910603125,18.9616404167,100.0,%,26.910603125,78.072253125,0.7934875,351.17,53611.68,1218.4,,production,OP
1450656000000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.8871127083,18.8712670833,100.0,%,26.8871127083,77.7013604167,0.7856441667,349.4,53148.46,1210.7,,production,OP
1450742400000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.873245625,18.8604022917,100.0,%,26.873245625,78.3459647917,0.7599545833,345.58,52658.15,1204.94,,production,OP
1450828800000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.62868,18.7961751064,97.9166666667,%,26.62868,77.5695025532,0.8131559574,344.54,52754.91,1215.11,,production,OP
1450915200000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.5440679167,18.7579329167,100.0,%,26.5440679167,77.8667122917,0.8140564583,341.77,52540.47,1202.13,,production,OP
1451001600000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.2927329167,18.7920939583,100.0,%,26.2927329167,79.1871408333,0.5632145833,340.83,52027.36,1191.58,,production,OP
1451088000000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.3439289583,18.7558991667,100.0,%,26.3439289583,78.970256875,0.652355625,337.53,51885.5,1193.96,,production,OP
1451174400000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.4457272917,18.66002125,100.0,%,26.4457272917,78.5616789583,0.6214797917,329.95,51591.05,1169.53,,production,OP
1451260800000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.4535048936,18.6591589362,97.9166666667,%,26.4535048936,78.4860093617,0.7835040426,332.55,51266.0,1180.42,,production,OP
1451347200000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.5051154167,18.57342,100.0,%,26.5051154167,77.9973504167,0.828029375,330.81,51165.05,1171.95,,production,OP
1451433600000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.5747416667,18.5366120833,100.0,%,26.5747416667,77.7407291667,0.8879625,330.63,51016.32,1164.26,,production,OP
1451520000000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.4925314583,18.5942145833,100.0,%,26.4925314583,78.43959375,0.7949108333,328.02,50731.37,1165.1,,production,OP
1451606400000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.3859264583,18.6704016667,100.0,%,26.3859264583,79.2602552083,0.686739375,326.82,50295.29,1160.83,,production,OP
1451692800000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.7207329167,18.4613202083,100.0,%,26.7207329167,77.2722329167,0.8512583333,319.9,49664.22,1148.87,,production,OP
1451779200000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,21.66667,0.0,0.0,37.8226275507,16.9713157306,70.9508316667,%,37.8226275507,64.536425959,2.4135197038,225.77,34907.52,845.48,,production,OP
1451865600000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,33.65519125,16.36507875,76.121146875,%,33.65519125,63.6423970833,5.662839375,254.52,41294.33,1125.35,,production,OP
1451952000000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.6750125,18.4130383333,100.0,%,26.6750125,77.1287275,0.9003216667,323.41,52239.81,1255.97,,production,OP
1452038400000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.7456266667,18.5024347917,100.0,%,26.7456266667,77.9705177083,0.848986875,318.97,51927.9,1351.95,,production,OP
1452124800000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.7247720833,18.48528875,100.0,%,26.7247720833,76.784603125,0.9308116667,320.53,51868.43,1256.99,,production,OP
1452211200000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.7956208333,18.6306564583,100.0,%,26.7956208333,78.0757110417,0.788020625,322.82,51673.95,1277.84,,production,OP
1452297600000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.9530410417,18.645389375,100.0,%,26.9530410417,77.0771677083,0.8969445833,323.93,51878.01,1278.87,,production,OP
1452384000000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.9712047917,18.7037616667,100.0,%,26.9712047917,77.2339335417,0.8768679167,324.93,52097.68,1289.19,,production,OP
1452470400000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,27.07760375,18.90143125,100.0,%,27.07760375,79.1976260417,0.8069704167,328.19,52427.52,1295.67,,production,OP
1452556800000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,0.0,0.0,26.9215902083,19.1041852083,100.0,%,26.9215902083,80.547210625,0.5807783333,329.82,52576.92,1322.23,,production,OP
1452643200000,NO 15/9-F-12 H,5599,15/9-F-12,3420717,VOLVE,369304,MÆRSK INSPIRER,23.33333,0.0,0.0,28.4697160525,18.8939613524,90.16815625,%,28.4697160525,79.3241567286,1.8574909038,294.84,47019.55,1294.21,,production,OP
