DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2011-09-19,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,242.70645,103.2426,204.03912,0.0,76.30241,%,38.66733,88.14867,8.1466,1765.28,278686.81,4268.94,,production,OP
2011-09-20,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,243.3009799999999,103.23950000000013,204.50550499999963,0.0,77.80532500000014,%,38.79547500000028,88.25907999999991,8.237790000000482,1776.07,280185.97,4339.97,,production,OP
2011-09-21,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.66166,103.24363541666666,206.52051208333333,0.0,79.13945125,%,38.14114791666667,88.94360145833333,8.310393333333334,1758.96,278027.99,4359.76,,production,OP
2011-09-22,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.420816875,103.24566520833334,207.06415145833333,0.0,92.633111875,%,37.356665416666665,89.87170895833333,7.764326666666666,1789.52,281530.18,4478.37,,production,OP
2011-09-23,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.17157020833332,103.245114375,207.15671520833334,0.0,99.999659375,%,37.014855,90.47515708333333,7.436960208333334,1808.7,283237.91,4530.02,,production,OP
2011-09-24,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.18906604166668,103.23986479166666,207.258096875,0.0,100.0,%,36.930969166666664,89.98986666666667,7.375910208333333,1804.22,283201.7,4525.49,,production,OP
2011-09-25,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.256835,103.234479375,207.36152104166666,0.0,100.0,%,36.89531395833333,89.90907875,7.388030416666667,1804.12,283162.87,4535.28,,production,OP
2011-09-26,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.23727875,103.23031895833333,207.38338083333332,0.0,100.0,%,36.85389791666667,89.98205375,7.407539375,1803.45,282765.6,4545.82,,production,OP
2011-09-27,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.28513833333332,103.22499729166667,207.48900916666668,0.0,100.0,%,36.79612916666667,90.094203125,7.366832083333334,1797.79,281959.39,4550.59,,production,OP
2011-09-28,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.35276875,103.21940604166667,207.573409375,0.0,100.0,%,36.779359375,89.77271458333334,7.35208125,1685.26,264623.98,4197.74,,production,OP
2011-09-29,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.41965957446808,103.21320914893617,208.4996339494681,0.0,98.090223125,%,35.920025625,87.97772510638298,6.4999792420212765,1700.15,267135.22,4298.01,,production,OP
2011-09-30,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.38231,103.20439291666666,207.70289270833334,0.0,100.0,%,36.67941729166667,89.92664958333333,7.2660302083333335,1678.14,263976.04,4253.4,,production,OP
2011-10-01,NO 15/9-F-14 H,5351,15/9-F-14,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,244.22668666666667,103.19242104166666,207.56035333333332,0.0,100.0,%,36.666333333333334,90.8468,7.258778125,1672.21,262906.82,4229.11,,production,OP
